EquipmentCode,DocumentCategory,DocumentSubCategory,Comments,TrueFalseIndicator,RiskAssessmentConsequence,RiskAssessmentLikelihood,RiskAssessmentLevel,RiskDescription,ControlMeasures,Sequence
PEM-EQ-CUT-001,Hazards Inspected - Friction,Friction,Can anyone be burnt due to contact with moving parts materials or surfaces of the plant?,FALSE,,,,,,2
PEM-EQ-CUT-001,Hazards Inspected - Suffocation,Suffocation,,,,,,,,1
PEM-EQ-CUT-001,Hazards Inspected - Suffocation,Suffocation,Can anyone be suffocated due to lack of oxygen or atmospheric contamination?,FALSE,,,,,,2
PEM-EQ-CUT-001,Hazards Inspected - Condition,Condition,,,,,,,,1
PEM-EQ-CUT-001,Hazards Inspected - Condition,Condition,Is a hazard likely due to the age and condition of the plant?,FALSE,,,,,,2
PEM-EQ-CUT-001,Hazards Inspected - Condition,Condition,Can anyone be injured as a result of the plant not serviced appropriately and/or maintained in line with manufacturer's recommendations?,FALSE,,,,,,3
PEM-EQ-CUT-001,Hazards Inspected - Slips/Trips/Falls,Slips/Trips/Falls,,,,,,,,1
PEM-EQ-CUT-001,Hazards Inspected - Slips/Trips/Falls,Slips/Trips/Falls,Can anyone using the plant or in the vicinity of the plant slip trip or fall due to:,,,,,Poor housekeeping allowing the build-up of waste materials or failure to immediately clean up spills could result in a slip hazard. Inappropriate placement of objects (e.g. electric cord spare materials bags etc) in the immediate vicinity of the plant equipment may result in a trip hazard.,Ensure appropriate cleaning and housekeeping standards are maintained at all times to minimise the risk of a slip trip or fall.,2
PEM-EQ-CUT-001,Hazards Inspected - Slips/Trips/Falls,Slips/Trips/Falls,Uneven slippery or steep work surfaces?,FALSE,,,,,,3
PEM-EQ-CUT-001,Hazards Inspected - Slips/Trips/Falls,Slips/Trips/Falls,Poor housekeeping e.g. spillage in the vicinity?,TRUE,Minor,Possible,Medium,,,4
PEM-EQ-CUT-001,Hazards Inspected - Slips/Trips/Falls,Slips/Trips/Falls,Obstacles being placed in the vicinity of the plant?,TRUE,Minor,Possible,Medium,,,5
PEM-EQ-CUT-001,Hazards Inspected - Slips/Trips/Falls,Slips/Trips/Falls,Inappropriate or poorly maintained floor or walking surfaces?,FALSE,,,,,,6
PEM-EQ-CUT-001,Hazards Inspected - Slips/Trips/Falls,Slips/Trips/Falls,If operating or maintaining plant at height can anyone slip trip or fall due to:,FALSE,,,,,,7
PEM-EQ-CUT-001,Hazards Inspected - Slips/Trips/Falls,Slips/Trips/Falls,Use of work platforms stairs or ladders?,FALSE,,,,,,8
PEM-EQ-CUT-001,Hazards Inspected - Slips/Trips/Falls,Slips/Trips/Falls,Lack of guardrails or other suitable edge protection?,FALSE,,,,,,9
PEM-EQ-CUT-001,Hazards Inspected - Slips/Trips/Falls,Slips/Trips/Falls,Other,FALSE,,,,,,10
PEM-EQ-CUT-001,Hazards Inspected - Fire and Explosion,Fire and Explosion,,,,,,,,1
PEM-EQ-CUT-001,Hazards Inspected - Fire and Explosion,Fire and Explosion,Can anyone be injured by fire?,FALSE,,,,,,2
PEM-EQ-CUT-001,Hazards Inspected - Fire and Explosion,Fire and Explosion,Can anyone be injured by explosion of gases vapours liquids dusts or other substances?,FALSE,,,,,,3
PEM-EQ-CUT-001,Hazards Inspected - Temperature/Moisture,Temperature/Moisture,,,,,,,,1
PEM-EQ-CUT-001,Hazards Inspected - Temperature/Moisture,Temperature/Moisture,Can anyone come into contact with objects at high or low temperatures?,FALSE,,,,,,2
PEM-EQ-CUT-001,Hazards Inspected - Temperature/Moisture,Temperature/Moisture,Can anyone suffer ill health due to exposure to high or low temperatures?,FALSE,,,,,,3
PEM-EQ-CUT-001,Hazards Inspected - Temperature/Moisture,Temperature/Moisture,Can anyone be injured or suffer ill health due to exposure to moisture?,FALSE,,,,,,4
PEM-EQ-CUT-001,Hazards Inspected - Other,Other,,,,,,,,1
PEM-EQ-CUT-001,Hazards Inspected - Other,Other,Can anyone be injured or suffer ill health from exposure to:,,,,,Dust generated from the work process may be hazardous to health.,Ensure appropriate control measures are implemented (e.g. local exhaust system face masks good housekeeping practices etc).,2
PEM-EQ-CUT-001,Hazards Inspected - Other,Other,Chemicals?,FALSE,,,,,,3
PEM-EQ-CUT-001,Hazards Inspected - Other,Other,Toxic gases or vapours?,FALSE,,,,,,4
PEM-EQ-CUT-001,Hazards Inspected - Other,Other,Fumes / Dusts?,TRUE,Moderate,Unlikely,Medium,,,5
PEM-EQ-CUT-001,Hazards Inspected - Other,Other,Other? (please specify),FALSE,,,,,,6
