EquipmentCode,DocumentCategory,DocumentSubCategory,Comments,TrueFalseIndicator,RiskAssessmentConsequence,RiskAssessmentLikelihood,RiskAssessmentLevel,RiskDescription,ControlMeasures,Sequence
PEM-EQ-FINISH-011,Hazards Inspected - Impact and Cutting Injuries,Impact and Cutting Injuries,The plant tipping or rolling over?,FALSE,,,,,,6
PEM-EQ-FINISH-011,Hazards Inspected - Impact and Cutting Injuries,Impact and Cutting Injuries,Parts of the plant disintegrating or collapsing?,FALSE,,,,,,7
PEM-EQ-FINISH-011,Hazards Inspected - Impact and Cutting Injuries,Impact and Cutting Injuries,"Contact with moving parts during testing, inspection, operation, maintenance, cleaning or repair?",FALSE,,,,,,8
PEM-EQ-FINISH-011,Hazards Inspected - Impact and Cutting Injuries,Impact and Cutting Injuries,Being thrown off or under the plant?,FALSE,,,,,,9
PEM-EQ-FINISH-011,Hazards Inspected - Impact and Cutting Injuries,Impact and Cutting Injuries,Contact with sharp or flying objects? (e.g. work pieces being ejected),TRUE,Minor,Possible,Medium,,,10
PEM-EQ-FINISH-011,Hazards Inspected - Impact and Cutting Injuries,Impact and Cutting Injuries,The mobility of the plant?,TRUE,Minor,Possible,Medium,,,11
PEM-EQ-FINISH-011,Hazards Inspected - Impact and Cutting Injuries,Impact and Cutting Injuries,Inappropriate parts and accessories being used?,FALSE,,,,,,12
PEM-EQ-FINISH-011,Hazards Inspected - Impact and Cutting Injuries,Impact and Cutting Injuries,Other,FALSE,,,,,,13
PEM-EQ-FINISH-011,Hazards Inspected - Shearing,Shearing,,,,,,,,1
PEM-EQ-FINISH-011,Hazards Inspected - Shearing,Shearing,"Can anyone’s body parts be sheared between two parts of plant, or between a part of the plant and a work piece or structure?",FALSE,,,,,,2
PEM-EQ-FINISH-011,Hazards Inspected - Pressurised Content,Pressurised Content,,,,,,,,1
PEM-EQ-FINISH-011,Hazards Inspected - Pressurised Content,Pressurised Content,"Can anyone come into contact with fluids or gases under high pressure, due to plant failure or misuse of the plant?",FALSE,,,,,,2
PEM-EQ-FINISH-011,Hazards Inspected - Electricity,Electricity,,,,,,,,1
PEM-EQ-FINISH-011,Hazards Inspected - Electricity,Electricity,Can anyone be injured or burnt due to:,,,,,Damaged or frayed electrical cords pose an electrical hazard.,"Operator to check for damaged electrical cords prior to use.

Ensure equipment is serviced on a regular basis, tested and tagged and appropriate isolation procedures (e.g. lock out tags) are in place.",2
PEM-EQ-FINISH-011,Hazards Inspected - Electricity,Electricity,Live electrical conductors? (e.g. exposed wires),FALSE,,,,,,3
PEM-EQ-FINISH-011,Hazards Inspected - Electricity,Electricity,Working in close proximity to electrical conductors?,FALSE,,,,,,4
PEM-EQ-FINISH-011,Hazards Inspected - Electricity,Electricity,Access to electricity?,FALSE,,,,,,5
PEM-EQ-FINISH-011,Hazards Inspected - Electricity,Electricity,"Damaged or poorly maintained electrical leads, cables or switches?",TRUE,Major,Unlikely,Medium,,,6
PEM-EQ-FINISH-011,Hazards Inspected - Electricity,Electricity,Water near electrical equipment?,FALSE,,,,,,7
PEM-EQ-FINISH-011,Hazards Inspected - Electricity,Electricity,Lack of isolation procedures?,FALSE,,,,,,8
PEM-EQ-FINISH-011,Hazards Inspected - Electricity,Electricity,Other,FALSE,,,,,,9
PEM-EQ-FINISH-011,Hazards Inspected - Ergonomics,Ergonomics,,,,,,,,1
PEM-EQ-FINISH-011,Hazards Inspected - Ergonomics,Ergonomics,Can anyone be injured due to:,FALSE,,,,,,2
PEM-EQ-FINISH-011,Hazards Inspected - Ergonomics,Ergonomics,Poorly designed workstation?,FALSE,,,,,,3
PEM-EQ-FINISH-011,Hazards Inspected - Ergonomics,Ergonomics,Repetitive body movement?,FALSE,,,,,,4
PEM-EQ-FINISH-011,Hazards Inspected - Ergonomics,Ergonomics,Constrained body posture or the need for excessive effort?,FALSE,,,,,,5
PEM-EQ-FINISH-011,Hazards Inspected - Ergonomics,Ergonomics,Design deficiency causing psychological stress?,FALSE,,,,,,6
PEM-EQ-FINISH-011,Hazards Inspected - Ergonomics,Ergonomics,Inadequate or poorly placed lighting?,FALSE,,,,,,7
PEM-EQ-FINISH-011,Hazards Inspected - Ergonomics,Ergonomics,Does the plant impact on the surrounding workplace and create potential hazards? (Consider potential impact on the design and layout of the workplace),FALSE,,,,,,8
PEM-EQ-FINISH-011,Hazards Inspected - Ergonomics,Ergonomics,Is the location of the plant inappropriate? (Consider potential effects due to environmental conditions and terrain),FALSE,,,,,,9
PEM-EQ-FINISH-011,Hazards Inspected - Ergonomics,Ergonomics,Other,FALSE,,,,,,10
PEM-EQ-FINISH-011,Hazards Inspected - Radiation,Radiation,,,,,,,,1
PEM-EQ-FINISH-011,Hazards Inspected - Radiation,Radiation,"Can anyone using the plant, or in the vicinity of the plant suffer injury or illness due to exposure to radiation in the form of any of the following:
• infra-red radiation
• ultra violet light
• microwaves",FALSE,,,,,,2
PEM-EQ-FINISH-011,Hazards Inspected - Noise,Noise,,,,,,,,1
PEM-EQ-FINISH-011,Hazards Inspected - Noise,Noise,"Can anyone using the plant, or in the vicinity of the plant, suffer injury due to exposure to noise?",TRUE,Moderate,Unlikely,Medium,Operation of the equipment can result in high noise levels.,Appropriate hearing protection (e.g. ear muffs) should be worn whilst operating the equipment.,2
PEM-EQ-FINISH-011,Hazards Inspected - Vibration,Vibration,,,,,,,,1
PEM-EQ-FINISH-011,Hazards Inspected - Vibration,Vibration,Can anyone be injured or suffer ill-health from exposure to vibration?,TRUE,Moderate,Unlikely,Medium,The operator could be exposed to hand and arm vibration as a result of vibration generated when operating this equipment.,"Take regular breaks from continuous operation.

Wear appropriate PPE (e.g. gloves) especially in cold weather.

Conduct periodic maintenance to ensure smoother operation and less vibration.",2
PEM-EQ-FINISH-011,Hazards Inspected - Friction,Friction,,,,,,,,1
PEM-EQ-FINISH-011,Hazards Inspected - Friction,Friction,"Can anyone be burnt due to contact with moving parts, materials or surfaces of the plant?",FALSE,,,,,,2
PEM-EQ-FINISH-011,Hazards Inspected - Suffocation,Suffocation,,,,,,,,1
PEM-EQ-FINISH-011,Hazards Inspected - Suffocation,Suffocation,"Can anyone be suffocated due to lack of oxygen, or atmospheric contamination?",FALSE,,,,,,2
PEM-EQ-FINISH-011,Hazards Inspected - Condition,Condition,,,,,,,,1
PEM-EQ-FINISH-011,Hazards Inspected - Condition,Condition,"Is a hazard likely due to the age and condition of the plant? (Consider how hard the machine has been worked, and whether it is used constantly or rarely).",FALSE,,,,,,2
PEM-EQ-FINISH-011,Hazards Inspected - Condition,Condition,Can anyone be injured as a result of the plant not serviced appropriately and/or maintained in line with manufacturer’s recommendations?,FALSE,,,,,,3
PEM-EQ-FINISH-011,Hazards Inspected - Slips/Trips/Falls,Slips/Trips/Falls,,,,,,,,1
PEM-EQ-FINISH-011,Hazards Inspected - Slips/Trips/Falls,Slips/Trips/Falls,"Can anyone using the plant, or in the vicinity of the plant, slip, trip or fall due to:",,,,,"Poor housekeeping practices allowing the build-up of waste materials or failure to immediately clean up spills could result in a slip hazard.

Inappropriate placement of objects (e.g. spare material, electrical cords, bags etc.) in the immediate vicinity of the equipment may result in a trip hazard.",Ensure appropriate cleaning and housekeeping practices are maintained to minimise the risk of a slip/trip/falls hazard.,2
PEM-EQ-FINISH-011,Hazards Inspected - Slips/Trips/Falls,Slips/Trips/Falls,"Uneven, slippery or steep work surfaces?",FALSE,,,,,,3
PEM-EQ-FINISH-011,Hazards Inspected - Slips/Trips/Falls,Slips/Trips/Falls,"Poor housekeeping, e.g. spillage in the vicinity?",TRUE,Minor,Possible,Medium,,,4
PEM-EQ-FINISH-011,Hazards Inspected - Slips/Trips/Falls,Slips/Trips/Falls,Obstacles being placed in the vicinity of the plant?,TRUE,Minor,Possible,Medium,,,5
PEM-EQ-FINISH-011,Hazards Inspected - Slips/Trips/Falls,Slips/Trips/Falls,"Inappropriate or poorly maintained floor or walking surfaces (i.e. lack of a slip-resistant surface, unprotected holes, penetrations or gaps?)",FALSE,,,,,,6
PEM-EQ-FINISH-011,Hazards Inspected - Slips/Trips/Falls,Slips/Trips/Falls,"If operating or maintaining plant at height can anyone slip, trip or fall due to:",FALSE,,,,,,7
PEM-EQ-FINISH-011,Hazards Inspected - Slips/Trips/Falls,Slips/Trips/Falls,"Use of work platforms, stairs or ladders?",FALSE,,,,,,8
PEM-EQ-FINISH-011,Hazards Inspected - Slips/Trips/Falls,Slips/Trips/Falls,Lack of guardrails or other suitable edge protection?,FALSE,,,,,,9
PEM-EQ-FINISH-011,Hazards Inspected - Slips/Trips/Falls,Slips/Trips/Falls,Other,FALSE,,,,,,10
PEM-EQ-FINISH-011,Hazards Inspected - Fire and Explosion,Fire and Explosion,,,,,,,,1
PEM-EQ-FINISH-011,Hazards Inspected - Fire and Explosion,Fire and Explosion,Can anyone be injured by fire?,FALSE,,,,,,2
PEM-EQ-FINISH-011,Hazards Inspected - Fire and Explosion,Fire and Explosion,"Can anyone be injured by explosion of gases, vapours, liquids, dusts, or other substances?",FALSE,,,,,,3
PEM-EQ-FINISH-011,Hazards Inspected - Temperature/Moisture,Temperature/Moisture,,,,,,,,1
PEM-EQ-FINISH-011,Hazards Inspected - Temperature/Moisture,Temperature/Moisture,Can anyone come into contact with objects at high or low temperatures?,FALSE,,,,,,2
PEM-EQ-FINISH-011,Hazards Inspected - Temperature/Moisture,Temperature/Moisture,Can anyone suffer ill-health due to exposure to high or low temperatures?,FALSE,,,,,,3
PEM-EQ-FINISH-011,Hazards Inspected - Temperature/Moisture,Temperature/Moisture,Can anyone be injured or suffer ill-health due to exposure to moisture?,FALSE,,,,,,4
PEM-EQ-FINISH-011,Hazards Inspected - Other,Other,,,,,,,,1
PEM-EQ-FINISH-011,Hazards Inspected - Other,Other,Can anyone be injured or suffer ill-health from exposure to:,,,,,Dust generated from the work process may be hazardous to health.,"Ensure appropriate control measures are implemented (e.g. local exhaust system, face masks, good housekeeping practices etc.).",2
PEM-EQ-FINISH-011,Hazards Inspected - Other,Other,Chemicals?,FALSE,,,,,,3
PEM-EQ-FINISH-011,Hazards Inspected - Other,Other,Toxic gases or vapours?,FALSE,,,,,,4
PEM-EQ-FINISH-011,Hazards Inspected - Other,Other,Fumes/Dusts?,TRUE,Moderate,Unlikely,Medium,,,5
PEM-EQ-FINISH-011,Hazards Inspected - Other,Other,Other? (please specify),FALSE,,,,,,6
