DocumentID,DocumentTitle,LastUpdated,SectionID,SectionSlug,HeaderLevel,HeaderText,BodyText,ParentSectionID,Keywords,URLs
plant-equipment-mgmt,Plant and Equipment Management,4-Oct-24,plant-equipment-mgmt-011,summary-item-4,4,Summary item 4,"Central and regional offices provide a range of support and services to assist principals and employees to be safe and well, including access to the OHS Advisory Service and local regional officers who can provide free advice to schools on managing risks related to plant and equipment.",plant-equipment-mgmt-007,"risk, principal, equipment, plant",
plant-equipment-mgmt,Plant and Equipment Management,4-Oct-24,plant-equipment-mgmt-012,summary-item-5,4,Summary item 5,Only senior secondary school students who have passed a Restricted PlantSafe Use Competency Test(DOCX) <https://content.sdp.education.vic.gov.au/media/restricted-plant-and-ma-chinery-safe-use-competency-test-1544> are permitted to use plant items classified as restricted.,plant-equipment-mgmt-007,"plant, competency, student, restricted",https://content.sdp.education.vic.gov.au/media/restricted-plant-and-ma-chinery-safe-use-competency-test-1544
plant-equipment-mgmt,Plant and Equipment Management,4-Oct-24,plant-equipment-mgmt-013,summary-item-6,4,Summary item 6,"Staff and students operating any plant or equipment must be suitably trained and assessed as stated in this procedure, and students must be effectively supervised while using equipment.",plant-equipment-mgmt-007,"staff, must, equipment, plant, student, procedure",
plant-equipment-mgmt,Plant and Equipment Management,4-Oct-24,plant-equipment-mgmt-014,summary-item-7,4,Summary item 7,"The Plant and Equipment Procedure <http://www2.education.vic.gov.au/pal/plant-and-equipment-management/procedure> must be followed, and sets out the practical step-by-step instructions for implementing this policy.",plant-equipment-mgmt-007,"must, equipment, plant, procedure",http://www2.education.vic.gov.au/pal/plant-and-equipment-management/procedure
plant-equipment-mgmt,Plant and Equipment Management,4-Oct-24,plant-equipment-mgmt-015,summary-item-8,4,Summary item 8,"This policy forms part of the department’s OHS Management System, see OHS Management System (OHSMS) Overview <http://www2.education.vic.gov.au/pal/occupational-health-safety-wellbeing-management/policy> for further information.",plant-equipment-mgmt-007,"safety, wellbeing, form",http://www2.education.vic.gov.au/pal/occupational-health-safety-wellbeing-management/policy
plant-equipment-mgmt,Plant and Equipment Management,4-Oct-24,plant-equipment-mgmt-016,details,3,Details,,plant-equipment-mgmt-002,,
plant-equipment-mgmt,Plant and Equipment Management,4-Oct-24,plant-equipment-mgmt-017,details-para-1,4,Details para 1,The principal and/or their delegate (in consultation with the Health and Safety Representative (HSR) or employee(s) affected by the relevant plant and equipment) must ensure that:,plant-equipment-mgmt-016,"principal, must, consultation, equipment, plant, safety",
plant-equipment-mgmt,Plant and Equipment Management,4-Oct-24,plant-equipment-mgmt-018,details-item-1,4,Details item 1,"All plant and equipment are identified and recorded in the Plant and Equipment Register (XLSX) <https://content.sdp.education.vic.gov.au/media/plant-and-equipment-regis-ter-2787> or equivalent, and included in the column titled ‘Hazard’ in the OHS risk register (XLSX) <https://content.sdp.education.vic.gov.au/media/ohs-risk-register-2572> or equivalent, including the level of risk assessedPlant andEquipment Register(XLSX<https://content.sdp.education.vic.gov.au/media/plant-and-equipment-regis-ter-2787>OHSrisk register<https://content.sdp.education.vic.gov.au/media/ohs-risk-register-2572>",plant-equipment-mgmt-016,"risk, hazard, register, equipment, plant, record",https://content.sdp.education.vic.gov.au/media/plant-and-equipment-regis-ter-2787; https://content.sdp.education.vic.gov.au/media/ohs-risk-register-2572; https://content.sdp.education.vic.gov.au/media/plant-and-equipment-regis-ter-2787; https://content.sdp.education.vic.gov.au/media/ohs-risk-register-2572
plant-equipment-mgmt,Plant and Equipment Management,4-Oct-24,plant-equipment-mgmt-019,details-item-2,4,Details item 2,A risk assessment is completed for each identified hazardous item of plant and equipment documented in the Plant and Equipment Risk Management Form (DOCX) or equivalent,plant-equipment-mgmt-016,"risk, hazard, assessment, equipment, plant, document, form",
plant-equipment-mgmt,Plant and Equipment Management,4-Oct-24,plant-equipment-mgmt-020,details-item-3,4,Details item 3,"Control measures are identified to reduce the risks, that they are implemented and documented in the OHS risk register, and regularly reviewed for effectiveness",plant-equipment-mgmt-016,"risk, control, register, review, document",
plant-equipment-mgmt,Plant and Equipment Management,4-Oct-24,plant-equipment-mgmt-021,details-item-4,4,Details item 4,"Where the control measures include development of procedures for safe operation of plant and equipment, a Safe Work Procedure Template (DOCX) <https://content.sdp.education.vic.gov.au/media/safe-work-procedure-template-2621> is completed and displayed adjacent to the item of plant or equipment.",plant-equipment-mgmt-016,"control, equipment, plant, procedure",https://content.sdp.education.vic.gov.au/media/safe-work-procedure-template-2621
plant-equipment-mgmt,Plant and Equipment Management,4-Oct-24,plant-equipment-mgmt-022,details-para-2,4,Details para 2,"In defining and keeping the control measures up to date, the principal and/or their delegate (in consultation with HSRs and relevant staff), and employees working with plant and equipment, must ensure:",plant-equipment-mgmt-016,"control, principal, staff, must, consultation, equipment, plant",
plant-equipment-mgmt,Plant and Equipment Management,4-Oct-24,plant-equipment-mgmt-023,details-item-5,4,Details item 5,"Employees are competent to use high risk plant and equipment in their facilities by maintaining relevant qualifications and registrations, including maintaining records of any licences – see the Plant and Equipment Procedure <http://www2.education.vic.gov.au/pal/plant-and-equipment-management/procedure>",plant-equipment-mgmt-016,"risk, equipment, plant, record, licence, procedure",http://www2.education.vic.gov.au/pal/plant-and-equipment-management/procedure
plant-equipment-mgmt,Plant and Equipment Management,4-Oct-24,plant-equipment-mgmt-024,details-item-6,4,Details item 6,Employees are trained and training records are maintained – see the OHS Induction and Training Policy <http://www2.education.vic.gov.au/pal/ohs-in-duction-training-school-staff/policy>,plant-equipment-mgmt-016,"staff, record, training",http://www2.education.vic.gov.au/pal/ohs-in-duction-training-school-staff/policy
plant-equipment-mgmt,Plant and Equipment Management,4-Oct-24,plant-equipment-mgmt-025,details-item-7,4,Details item 7,"Records of inspections and maintenance are maintained for each item of plant and equipment, and the OHS risk register (XLSX) <https://content.sdp.education.vic.gov.au/media/ohs-risk-register-2572> is kept up to date",plant-equipment-mgmt-016,"risk, register, inspection, equipment, plant, record, maintenance",https://content.sdp.education.vic.gov.au/media/ohs-risk-register-2572
plant-equipment-mgmt,Plant and Equipment Management,4-Oct-24,plant-equipment-mgmt-026,details-item-8,4,Details item 8,Contractors engaged to undertake maintenance are managed as per the Contractor OHS Management Policy <http://www2.education.vic.gov.au/pal/contractor-ohs-management/policy>,plant-equipment-mgmt-016,"contractor, maintenance",http://www2.education.vic.gov.au/pal/contractor-ohs-management/policy
plant-equipment-mgmt,Plant and Equipment Management,4-Oct-24,plant-equipment-mgmt-027,details-item-9,4,Details item 9,"Prior to the purchase or acquisition of new plant and equipment, the OHS Purchasing Checklist (DOCX) <https://content.sdp.education.vic.gov.au/media/ohs-purchasing-checklist-OHSPurchasing Checklist(DOCX) <https://content.sdp.education.vic.gov.au/media/ohs-purchasing-checklist-2772> is completed",plant-equipment-mgmt-016,"equipment, plant, purchase",https://content.sdp.education.vic.gov.au/media/ohs-purchasing-checklist-OHSPurchasing; https://content.sdp.education.vic.gov.au/media/ohs-purchasing-checklist-2772
plant-equipment-mgmt,Plant and Equipment Management,4-Oct-24,plant-equipment-mgmt-028,details-item-10,4,Details item 10,Unsafe plant or equipment are isolated and tagged as per the Equipment Isolation and Tag Out Policy <http://www2.education.vic.gov.au/pal/equipment-isolation/policy>,plant-equipment-mgmt-016,"equipment, plant",http://www2.education.vic.gov.au/pal/equipment-isolation/policy
plant-equipment-mgmt,Plant and Equipment Management,4-Oct-24,plant-equipment-mgmt-029,definitions,3,Definitions,,plant-equipment-mgmt-002,,
plant-equipment-mgmt,Plant and Equipment Management,4-Oct-24,plant-equipment-mgmt-030,definitions-plant,4,Definitions Plant,,plant-equipment-mgmt-029,,
plant-equipment-mgmt,Plant and Equipment Management,4-Oct-24,plant-equipment-mgmt-031,definitions-plant-para-1,4,Definitions Plant para 1,"Under the OHS Act 2004, 'plant' includes:",plant-equipment-mgmt-030,plant,
plant-equipment-mgmt,Plant and Equipment Management,4-Oct-24,plant-equipment-mgmt-032,definitions-plant-item-1,4,Definitions Plant item 1,"Any machinery equipment, appliance, implement and tool",plant-equipment-mgmt-030,"equipment, machinery",
plant-equipment-mgmt,Plant and Equipment Management,4-Oct-24,plant-equipment-mgmt-033,definitions-plant-item-2,4,Definitions Plant item 2,Any component of any of those things,plant-equipment-mgmt-030,,
plant-equipment-mgmt,Plant and Equipment Management,4-Oct-24,plant-equipment-mgmt-034,definitions-plant-item-3,4,Definitions Plant item 3,"Anything fitted, connected or related to any of those things.",plant-equipment-mgmt-030,,
plant-equipment-mgmt,Plant and Equipment Management,4-Oct-24,plant-equipment-mgmt-035,definitions-hierarchy-of-controls,4,Hierarchy of Controls,,plant-equipment-mgmt-029,control,
plant-equipment-mgmt,Plant and Equipment Management,4-Oct-24,plant-equipment-mgmt-036,definitions-hierarchy-of-controls-para-2,4,Definitions para 2,"There are a number of ways that risks associated with hazards can be reduced however, the effectiveness of each method may vary. The prioritising of approaches in managing the risks associated with a hazard is called the hierarchy of controls and indicates the decreasing level of effectiveness of various approaches. The hierarchy of controls are:",plant-equipment-mgmt-035,"risk, hazard, control",
plant-equipment-mgmt,Plant and Equipment Management,4-Oct-24,plant-equipment-mgmt-037,definitions-hierarchy-of-controls-item-4,4,Definitions item 4,Eliminating the hazard at the source,plant-equipment-mgmt-035,hazard,
plant-equipment-mgmt,Plant and Equipment Management,4-Oct-24,plant-equipment-mgmt-038,definitions-hierarchy-of-controls-item-5,4,Definitions item 5,Substituting the hazard with something else that poses a lesser risk,plant-equipment-mgmt-035,"risk, hazard",
plant-equipment-mgmt,Plant and Equipment Management,4-Oct-24,plant-equipment-mgmt-039,definitions-hierarchy-of-controls-item-6,4,Definitions item 6,Isolating the hazard with an engineering control,plant-equipment-mgmt-035,"hazard, control",
plant-equipment-mgmt,Plant and Equipment Management,4-Oct-24,plant-equipment-mgmt-040,definitions-hierarchy-of-controls-item-7,4,Definitions item 7,Implementing administrative controls and changing the way work is done,plant-equipment-mgmt-035,control,
plant-equipment-mgmt,Plant and Equipment Management,4-Oct-24,plant-equipment-mgmt-041,definitions-hierarchy-of-controls-item-8,4,Definitions item 8,Providing Personal Protective Equipment (PPE).,plant-equipment-mgmt-035,equipment,
plant-equipment-mgmt,Plant and Equipment Management,4-Oct-24,plant-equipment-mgmt-042,definitions-hierarchy-of-controls-para-5,4,Definitions para 3,Often a number of different approaches are used in conjunction with each other to provide a more effective risk control.,plant-equipment-mgmt-035,"risk, control",
plant-equipment-mgmt,Plant and Equipment Management,4-Oct-24,plant-equipment-mgmt-043,definitions-related-policies,4,Definitions Related policies,,plant-equipment-mgmt-029,,
plant-equipment-mgmt,Plant and Equipment Management,4-Oct-24,plant-equipment-mgmt-044,definitions-related-policies-item-1,4,Definitions Related policies item 1,Contractor OHS Management <http://www2.education.vic.gov.au/pal/contractor-ohs-management/policy>,plant-equipment-mgmt-043,contractor,http://www2.education.vic.gov.au/pal/contractor-ohs-management/policy
plant-equipment-mgmt,Plant and Equipment Management,4-Oct-24,plant-equipment-mgmt-045,definitions-related-policies-item-2,4,Definitions Related policies item 2,Equipment Isolation and Tag Out <http://www2.education.vic.gov.au/pal/equipment-isolation/policy>,plant-equipment-mgmt-043,equipment,http://www2.education.vic.gov.au/pal/equipment-isolation/policy
plant-equipment-mgmt,Plant and Equipment Management,4-Oct-24,plant-equipment-mgmt-046,definitions-related-policies-item-3,4,Definitions Related policies item 3,"Occupational Health, Safety and Wellbeing Management in Schools <http://www2.education.vic.gov.au/pal/occupational-health-safety-wellbeing-management/policy>",plant-equipment-mgmt-043,"safety, wellbeing",http://www2.education.vic.gov.au/pal/occupational-health-safety-wellbeing-management/policy
plant-equipment-mgmt,Plant and Equipment Management,4-Oct-24,plant-equipment-mgmt-047,definitions-related-policies-item-4,4,Definitions Related policies item 4,OHS Consultation and Communication <http://www2.education.vic.gov.au/pal/ohs-consultation-communication/policy>,plant-equipment-mgmt-043,consultation,http://www2.education.vic.gov.au/pal/ohs-consultation-communication/policy
plant-equipment-mgmt,Plant and Equipment Management,4-Oct-24,plant-equipment-mgmt-048,definitions-related-policies-item-5,4,Definitions Related policies item 5,OHS Induction and Training <http://www2.education.vic.gov.au/pal/ohs-induc-tion-training-school-staff/policy>,plant-equipment-mgmt-043,"staff, training",http://www2.education.vic.gov.au/pal/ohs-induc-tion-training-school-staff/policy
plant-equipment-mgmt,Plant and Equipment Management,4-Oct-24,plant-equipment-mgmt-049,definitions-related-policies-item-6,4,Definitions Related policies item 6,OHS Purchasing <http://www2.education.vic.gov.au/pal/occupational-health-and-safety-ohs-purchasing/policy>,plant-equipment-mgmt-043,safety,http://www2.education.vic.gov.au/pal/occupational-health-and-safety-ohs-purchasing/policy
plant-equipment-mgmt,Plant and Equipment Management,4-Oct-24,plant-equipment-mgmt-050,definitions-related-policies-item-7,4,Definitions Related policies item 7,OHS Risk Planning and Management <http://www2.education.vic.gov.au/pal/ohs-risk-management-planning/policy>,plant-equipment-mgmt-043,"risk, planning",http://www2.education.vic.gov.au/pal/ohs-risk-management-planning/policy
plant-equipment-mgmt,Plant and Equipment Management,4-Oct-24,plant-equipment-mgmt-051,related-legislation,4,Related legislation,,plant-equipment-mgmt-029,,
plant-equipment-mgmt,Plant and Equipment Management,4-Oct-24,plant-equipment-mgmt-052,related-legislation-item-1,4,Related legislation item 1,Occupational Health and Safety Act 2004 (Vic) <https://www.legislation.vic.gov.au/in-force/acts/occupational-health-and-safety-act-2004>,plant-equipment-mgmt-051,safety,https://www.legislation.vic.gov.au/in-force/acts/occupational-health-and-safety-act-2004
plant-equipment-mgmt,Plant and Equipment Management,4-Oct-24,plant-equipment-mgmt-053,related-legislation-item-2,4,Related legislation item 2,Occupational Health and Safety Regulations 2017 (Vic) <https://www.legislation.vic.gov.au/in-force/statutory-rules/occupational-health-and-safety-regulations-2017>,plant-equipment-mgmt-051,safety,https://www.legislation.vic.gov.au/in-force/statutory-rules/occupational-health-and-safety-regulations-2017
plant-equipment-mgmt,Plant and Equipment Management,4-Oct-24,plant-equipment-mgmt-054,procedure,2,Procedure,,plant-equipment-mgmt-001,,
plant-equipment-mgmt,Plant and Equipment Management,4-Oct-24,plant-equipment-mgmt-055,plant-and-equipment-management-procedure,3,Plant and Equipment Management Procedure,,plant-equipment-mgmt-054,,
plant-equipment-mgmt,Plant and Equipment Management,4-Oct-24,plant-equipment-mgmt-056,plant-and-equipment-management-procedure-para-1,4,Plant and Equipment Management Procedure para 1,"The Plant and Equipment Procedure must be followed, and sets out the practical step-by-step instructions for implementing this policy.",plant-equipment-mgmt-055,"must, equipment, plant, procedure",
plant-equipment-mgmt,Plant and Equipment Management,4-Oct-24,plant-equipment-mgmt-057,plant-and-equipment-management-procedure-para-2,4,Plant and Equipment Management Procedure para 2,The Procedure contains the following chapters:,plant-equipment-mgmt-056,"equipment, plant, procedure",
plant-equipment-mgmt,Plant and Equipment Management,4-Oct-24,plant-equipment-mgmt-058,plant-and-equipment-management-procedure-item-1,4,Plant and Equipment Management Procedure item 1,Identify plant and equipment,plant-equipment-mgmt-056,"equipment, plant, procedure",
plant-equipment-mgmt,Plant and Equipment Management,4-Oct-24,plant-equipment-mgmt-059,plant-and-equipment-management-procedure-item-2,4,Plant and Equipment Management Procedure item 2,Risk assessment of plant and equipment,plant-equipment-mgmt-056,"risk, assessment, equipment, plant, procedure",
plant-equipment-mgmt,Plant and Equipment Management,4-Oct-24,plant-equipment-mgmt-060,plant-and-equipment-management-procedure-item-3,4,Plant and Equipment Management Procedure item 3,Purchase or acquisition of plant,plant-equipment-mgmt-056,"equipment, plant, purchase, procedure",
plant-equipment-mgmt,Plant and Equipment Management,4-Oct-24,plant-equipment-mgmt-061,plant-and-equipment-management-procedure-item-4,4,Plant and Equipment Management Procedure item 4,Controlling plant and equipment risks,plant-equipment-mgmt-056,"risk, control, equipment, plant, procedure",
plant-equipment-mgmt,Plant and Equipment Management,4-Oct-24,plant-equipment-mgmt-062,plant-and-equipment-management-procedure-item-5,4,Plant and Equipment Management Procedure item 5,OHS Risk Register,plant-equipment-mgmt-055,"risk, register, equipment, plant, procedure",
plant-equipment-mgmt,Plant and Equipment Management,4-Oct-24,plant-equipment-mgmt-063,plant-and-equipment-management-procedure-item-6,4,Plant and Equipment Management Procedure item 6,"Legislation, Codes of Practice, Standards and Guidance",plant-equipment-mgmt-055,"equipment, plant, procedure",
plant-equipment-mgmt,Plant and Equipment Management,4-Oct-24,plant-equipment-mgmt-064,identify-plant-and-equipment,3,Identify plant and equipment,,plant-equipment-mgmt-054,,
plant-equipment-mgmt,Plant and Equipment Management,4-Oct-24,plant-equipment-mgmt-065,identify-plant-and-equipment-para-1,4,Identify plant and equipment para 1,The principal and/or their delegate must identify all plant and equipment within the workplace in consultation with the Health and Safety Representative (HSR) and employees and record this information in the Plant and equipment register (XLSX) <https://content.sdp.education.vic.gov.au/media/plant-and-equipment-register-2787> or equivalent.,plant-equipment-mgmt-064,"register, principal, must, consultation, equipment, plant, safety, workplace, record, form",https://content.sdp.education.vic.gov.au/media/plant-and-equipment-regis-
plant-equipment-mgmt,Plant and Equipment Management,4-Oct-24,plant-equipment-mgmt-066,identify-plant-and-equipment-para-3,4,Identify plant and equipment para 3,Examples of plant and equipment include:,plant-equipment-mgmt-065,"equipment, plant",
plant-equipment-mgmt,Plant and Equipment Management,4-Oct-24,plant-equipment-mgmt-067,identify-plant-and-equipment-item-1,4,Identify plant and equipment item 1,Ladders,plant-equipment-mgmt-066,"equipment, plant",
plant-equipment-mgmt,Plant and Equipment Management,4-Oct-24,plant-equipment-mgmt-068,identify-plant-and-equipment-item-2,4,Identify plant and equipment item 2,Table saws,plant-equipment-mgmt-066,"equipment, plant, saw",
plant-equipment-mgmt,Plant and Equipment Management,4-Oct-24,plant-equipment-mgmt-069,identify-plant-and-equipment-item-3,4,Identify plant and equipment item 3,Powered hand tools,plant-equipment-mgmt-066,"equipment, plant",
plant-equipment-mgmt,Plant and Equipment Management,4-Oct-24,plant-equipment-mgmt-070,identify-plant-and-equipment-item-4,4,Identify plant and equipment item 4,Lifts,plant-equipment-mgmt-066,"equipment, plant",
plant-equipment-mgmt,Plant and Equipment Management,4-Oct-24,plant-equipment-mgmt-071,identify-plant-and-equipment-para-4,4,Identify plant and equipment para 4,Hazard identification should take place:,plant-equipment-mgmt-065,"hazard, should, equipment, plant",
plant-equipment-mgmt,Plant and Equipment Management,4-Oct-24,plant-equipment-mgmt-072,identify-plant-and-equipment-item-5,4,Identify plant and equipment item 5,When new plant and equipment is introduced into the workplace,plant-equipment-mgmt-071,"equipment, plant, workplace",
plant-equipment-mgmt,Plant and Equipment Management,4-Oct-24,plant-equipment-mgmt-073,identify-plant-and-equipment-item-6,4,Identify plant and equipment item 6,For all existing plant and equipment,plant-equipment-mgmt-071,"equipment, plant",
plant-equipment-mgmt,Plant and Equipment Management,4-Oct-24,plant-equipment-mgmt-074,identify-plant-and-equipment-item-7,4,Identify plant and equipment item 7,Before any changes are made to the system of work for plant and equipment,plant-equipment-mgmt-071,"equipment, plant",
plant-equipment-mgmt,Plant and Equipment Management,4-Oct-24,plant-equipment-mgmt-075,identify-plant-and-equipment-item-8,4,Identify plant and equipment item 8,Before the plant and equipment is used in a manner other than what it was designed for,plant-equipment-mgmt-071,"equipment, plant",
plant-equipment-mgmt,Plant and Equipment Management,4-Oct-24,plant-equipment-mgmt-076,identify-plant-and-equipment-item-9,4,Identify plant and equipment item 9,When new information regarding the safety of the plant and equipment becomes available.,plant-equipment-mgmt-071,"equipment, plant, safety, form",
plant-equipment-mgmt,Plant and Equipment Management,4-Oct-24,plant-equipment-mgmt-077,identify-plant-and-equipment-para-5,4,Identify plant and equipment para 5,The principal and/or their delegate must be aware that there are many types of plant and equipment items within their workplace.,plant-equipment-mgmt-065,"principal, must, equipment, plant, workplace",
plant-equipment-mgmt,Plant and Equipment Management,4-Oct-24,plant-equipment-mgmt-078,identify-plant-and-equipment-para-6,4,Identify plant and equipment para 6,Each item presents its own hazards which can include:,plant-equipment-mgmt-065,"hazard, equipment, plant",
plant-equipment-mgmt,Plant and Equipment Management,4-Oct-24,plant-equipment-mgmt-079,identify-plant-and-equipment-item-10,4,Identify plant and equipment item 10,Electrical,plant-equipment-mgmt-077,"equipment, plant",
plant-equipment-mgmt,Plant and Equipment Management,4-Oct-24,plant-equipment-mgmt-080,identify-plant-and-equipment-item-11,4,Identify plant and equipment item 11,Mechanical and moving parts,plant-equipment-mgmt-077,"equipment, plant",
plant-equipment-mgmt,Plant and Equipment Management,4-Oct-24,plant-equipment-mgmt-081,identify-plant-and-equipment-item-12,4,Identify plant and equipment item 12,Crushing or cutting,plant-equipment-mgmt-077,"equipment, plant, cutting",
plant-equipment-mgmt,Plant and Equipment Management,4-Oct-24,plant-equipment-mgmt-082,identify-plant-and-equipment-item-13,4,Identify plant and equipment item 13,Fire and explosion,plant-equipment-mgmt-077,"equipment, plant",
plant-equipment-mgmt,Plant and Equipment Management,4-Oct-24,plant-equipment-mgmt-083,identify-plant-and-equipment-item-14,4,Identify plant and equipment item 14,Hot parts of plant,plant-equipment-mgmt-077,"equipment, plant",
plant-equipment-mgmt,Plant and Equipment Management,4-Oct-24,plant-equipment-mgmt-084,identify-plant-and-equipment-item-15,4,Identify plant and equipment item 15,Noise,plant-equipment-mgmt-077,"equipment, plant",
plant-equipment-mgmt,Plant and Equipment Management,4-Oct-24,plant-equipment-mgmt-085,identify-plant-and-equipment-item-16,4,Identify plant and equipment item 16,Manual handling,plant-equipment-mgmt-077,"equipment, plant, manual handling",
plant-equipment-mgmt,Plant and Equipment Management,4-Oct-24,plant-equipment-mgmt-086,identify-plant-and-equipment-item-17,4,Identify plant and equipment item 17,Chemical hazards.,plant-equipment-mgmt-077,"hazard, equipment, plant, chemical",
plant-equipment-mgmt,Plant and Equipment Management,4-Oct-24,plant-equipment-mgmt-087,identify-plant-and-equipment-para-7,4,Identify plant and equipment item 18,Injuries resulting from incidents involving plant can range from:,plant-equipment-mgmt-065,"equipment, plant, incident",
plant-equipment-mgmt,Plant and Equipment Management,4-Oct-24,plant-equipment-mgmt-088,identify-plant-and-equipment-item-19,4,Identify plant and equipment item 19,Near misses,plant-equipment-mgmt-087,"equipment, plant",
plant-equipment-mgmt,Plant and Equipment Management,4-Oct-24,plant-equipment-mgmt-089,identify-plant-and-equipment-item-20,4,Identify plant and equipment item 20,Small cuts and bruises,plant-equipment-mgmt-087,"equipment, plant",
plant-equipment-mgmt,Plant and Equipment Management,4-Oct-24,plant-equipment-mgmt-090,identify-plant-and-equipment-item-21,4,Identify plant and equipment item 21,"Serious injuries such as amputations, scalping, de-gloving, and fatalities.",plant-equipment-mgmt-087,"equipment, plant",
plant-equipment-mgmt,Plant and Equipment Management,4-Oct-24,plant-equipment-mgmt-091,identify-plant-and-equipment-para-7,4,Identify plant and equipment para 7,"Due to the greater risk of injury to students, use of the following restricted plant items has been restricted to senior secondary students only who have passed a Restricted Plant Safe Use Competency Test (DOCX) <https://content.sdp.education.vic.gov.au/media/restricted-plant-and-ma-chinery-safe-use-competency-test-1544>",plant-equipment-mgmt-065,"risk, equipment, plant, injury, competency, student, restricted",https://content.sdp.education.vic.gov.au/media/restricted-plant-and-ma-chinery-safe-use-competency-test-1544
plant-equipment-mgmt,Plant and Equipment Management,4-Oct-24,plant-equipment-mgmt-092,identify-plant-and-equipment-item-22,4,Identify plant and equipment item 22,Cutting:,plant-equipment-mgmt-091,"equipment, plant, cutting",
plant-equipment-mgmt,Plant and Equipment Management,4-Oct-24,plant-equipment-mgmt-093,identify-plant-and-equipment-item-23,4,Identify plant and equipment item 23,"Rip saw (table saw, bench saw)",plant-equipment-mgmt-092,"equipment, plant, saw",
plant-equipment-mgmt,Plant and Equipment Management,4-Oct-24,plant-equipment-mgmt-094,identify-plant-and-equipment-item-24,4,Identify plant and equipment item 24,Band saw,plant-equipment-mgmt-092,"equipment, plant, saw",
